"compound","Compound_Name","Smiles","match_type","mz","rt"
867,"4-beta-(2-aminoethylthio)epicatechin  3-O-gallate|4beta-(2-aminoethylthio)epicatechin 3-O-gallate|4beta-(2-aminoethylthio)epicatechin-3-O-gallate|4beta-(2-aminoethylthiol)epicatechin 3-O-gallate","NCCSC1C(OC(=O)c2cc(O)c(O)c(O)c2)C(Oc3cc(O)cc(O)c13)c4ccc(O)c(O)c4","in silico UNPD",516.0794,13.32665
869,"Di_Gallocatechin_Type_B_Coumarate_Gallate","c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)OC(=O)/C=C/c1ccc(cc1)O)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)O","mass_only",907.169583,13.325917
873,"NCGC00380476-01!5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-2,3-dihydrochromen-4-one","OCC1OC(C(O)C(O)C1O)C2=C(O)C=C3OC(CC(=O)C3=C2O)C4=CC=C(O)C=C4","GNPS databases",433.113106,10.650694
885,"Gallocatechin_Catechin_Type_B_Coumarate,Di_Gallocatechin_Type_B_Cinnamate,Kaempferol_Coumarate_Coumarate_Hexose,Quercitin_Coumarate_Cinnamate_Hexose,Quercitin_Coumarate_Coumarate_Deoxyhexose,Myricetin_Cinnamate_Cinnamate_Hexose,Myricetin_Coumarate_Cinnamate_Deoxyhexose,4'_methyl_Myricetin_Coumarate_Cinnamate_Pentose","c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1ccc(c(c1)OC(=O)/C=C/c1ccc(cc1)O)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1cc(c(c(c1)O)O)O)O,c12c(c(cc(c1)O)OC(=O)/C=C/c1ccc(cc1)O)c(=O)c(c(o2)c1ccc(cc1)O)OC(=O)/C=C/c1ccc(cc1)OC1OC(C(C(O)C1O)O)CO,c12c(c(cc(c1)O)OC1C(C(O)OC(C1O)CO)O)c(=O)c(c(o2)c1cc(c(cc1)O)O)OC(=O)/C=C/c1ccc(cc1)OC(=O)/C=C/c1ccccc1,c12c(c(cc(c1)O)OC1C(C(O)OC(C1O)C)O)c(=O)c(c(o2)c1cc(c(cc1)O)O)OC(=O)/C=C/c1ccc(cc1)OC(=O)/C=C/c1ccc(cc1)O,c12c(c(cc(c1)O)OC1C(O)C(O)OC(C1O)CO)c(=O)c(c(o2)c1cc(c(c(c1)O)OC(=O)/C=C/c1ccccc1)O)OC(=O)/C=C/c1ccccc1,c12c(c(cc(c1)O)OC1C(C(O)OC(C1O)C)O)c(=O)c(c(o2)c1cc(c(c(c1)O)OC(=O)/C=C/c1ccc(cc1)O)O)OC(=O)/C=C/c1ccccc1,c12c(c(cc(c1)OCC1OC(O)C(C1O)O)Oc1ccc(cc1)/C=C/C(=O)O)c(=O)c(c(o2)c1cc(c(c(c1)O)OC)O)OC(=O)/C=C/c1ccccc1","mass_only",739.165874,13.805103
888,"Di_Catechin_Type_B_Cinnamate_Cinnamate,Di_Afzelechin_Type_B_Coumarate_Coumarate,Afzelechin_Catechin_Type_B_Coumarate_Cinnamate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1ccc(c(c1)OC(=O)/C=C/c1ccccc1)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(cc1)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1ccc(cc1)O)OC(=O)/C=C/c1ccc(cc1)OC(=O)/C=C/c1ccc(cc1)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(cc1)O)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1ccc(cc1)OC(=O)/C=C/c1ccccc1)OC(=O)/C=C/c1ccc(cc1)O","mass_only",837.218,24.9665
898,"Spectral Match to L-Tryptophan from NIST14","N/A","GNPS databases",203.082061,5.174501
905,"Di_Catechin_Type_B_Deoxyhexose_Gallate,Afzelechin_Catechin_Type_B_Hexose_Gallate,Afzelechin_Gallocatechin_Type_B_Deoxyhexose_Gallate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)O)OC1C(O)OC(C(C1O)O)C)O)CC(C(O2)c1ccc(c(c1)O)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(cc1)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)O)OC1C(O)OC(C(C1O)O)CO)O)CC(C(O2)c1ccc(cc1)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)OC(=O)c1cc(c(c(c1)O)O)O)C)CC(C(O2)c1ccc(cc1)O)O","mass_only",875.201767,8.139267
908,"NCGC00385650-01![(2R,3R,4R,5R,6S)-5-hydroxy-3,4,6-tris[(3,4,5-trihydroxybenzoyl)oxy]oxan-2-yl]methyl 3,4,5-trihydroxybenzoate","O[C@H]1[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)O[C@H](COC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC(=O)C4=CC(O)=C(O)C(O)=C4)[C@@H]1OC(=O)C5=CC(O)=C(O)C(O)=C5","GNPS databases",787.099214,10.766214
913,"Di_Catechin_Type_B_Hexose_Gallate_Hexose,Di_Gallocatechin_Type_B_Deoxyhexose_Gallate_Deoxyhexose","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)O)OC1C(O)OC(C(C1O)O)COC1C(O)OC(C(C1O)O)CO)O)CC(C(O2)c1ccc(c(c1)O)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)O)OC1C(O)OC(C(C1O)OC1OC(C(C(C1O)O)O)C)C)O)CC(C(O2)c1cc(c(c(c1)O)O)O)O","mass_only",1053.2471,8.2163
916,"Di_Catechin_Type_B_Hexose_Cinnamate,Di_Catechin_Type_B_Deoxyhexose_Coumarate,Gallocatechin_Catechin_Type_B_Deoxyhexose_Cinnamate,Afzelechin_Catechin_Type_B_Hexose_Coumarate,Afzelechin_Gallocatechin_Type_B_Hexose_Cinnamate,Afzelechin_Gallocatechin_Type_B_Deoxyhexose_Coumarate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1ccc(c(c1)O)OCC1OC(O)C(O)C(C1O)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1ccc(c(c1)OC(=O)/C=C/c1ccc(cc1)OC1OC(C(C(C1O)O)O)C)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1ccc(c(c1)OC1OC(C(C(C1O)O)O)C)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(cc1)O)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)O)CO)CC(C(O2)c1ccc(cc1)OC(=O)/C=C/c1ccc(cc1)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)O)CO)CC(C(O2)c1ccc(cc1)OC(=O)/C=C/c1ccccc1)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)O)C)CC(C(O2)c1ccc(cc1)OC(=O)/C=C/c1ccc(cc1)O)O","mass_only",869.227978,15.670733
921,"4'_methyl_Myricetin_Hexose_Deoxyhexose_Hexose","c12c(c(cc(c1)O)O)c(=O)c(c(o2)c1cc(c(c(c1)O)OC)O)OC1OC(C(C(C1O)O)OC1OC(C(C(C1O)O)OC1OC(C(C(C1O)O)O)CO)CO)C","mass_only",801.2159,14.058333
922,"Di_Afzelechin_Type_B_Pentose_Hexose,Afzelechin_Catechin_Type_B_Pentose_Deoxyhexose","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(cc1)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1ccc(cc1)O)OC1OC(C(C(C1O)O)O)COCC1OC(C(C1O)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(cc1)O)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)OCC1OC(C(C1O)O)O)C)CC(C(O2)c1ccc(cc1)O)O","mass_only",839.23905,8.7064
934,"Di_Hydro_Myricetin_Gallate","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O","mass_only",471.055513,13.64929
941,"N/A","CC1(C)OC(=O)C23CCC1C2(O)CCC4(C)C3CCC5C6(C)CCCC(C)(COC7OC(CO)C(O)C(O)C7OC8OC(CO)C(O)C8O)C6CCC45C","in silico UNPD",765.44485,22.0514
943,"NCGC00381003-01_C48H78O17_(3beta,5xi,9xi,18xi)-22-Hydroxyolean-12-en-3-yl 6-deoxy-alpha-L-mannopyranosyl-(1->2)hexopyranosyl-(1->2)-beta-D-glucopyranosiduronic acid","C[C@@H]1O[C@@H](OC2C(O)C(O)C(CO)OC2O[C@@H]3[C@@H](O)[C@H](O)[C@H](O[C@H]3O[C@H]4CC[C@@]5(C)C(CC[C@]6(C)C5C\C=C/7C8CC(C)(C)CC(O)[C@]8(C)CC[C@@]67C)C4(C)C)C(O)=O)[C@H](O)[C@H](O)[C@H]1O","GNPS databases",971.5185,23.3636
946,"Quinic Acid"," C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O","GNPS databases",191.055265,7.226444
947,"Afzelechin_Hexose_Cinnamate,Afzelechin_Deoxyhexose_Coumarate,Catechin_Deoxyhexose_Cinnamate","c12c(c(cc(c1)O)OCC1OC(O)C(C(C1O)O)O)CC(C(O2)c1ccc(cc1)O)OC(=O)/C=C/c1ccccc1,c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(cc1)O)OC(=O)/C=C/c1ccc(cc1)OC1C(C(C(C(O1)C)O)O)O,c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(c(c1)O)OC1C(O)OC(C(C1O)O)C)OC(=O)/C=C/c1ccccc1","mass_only",565.1711,18.262
950,"AcacicAcid_Coumaryl_Coumaryl_GlucosamineGlycoside_Pyranoside","OCC1OC(OC(=O)C23CC(OC4OC(CO)C(C(C4O)O)O)C(CC3C3=CCC4C(C3(CC2O)C)(C)CCC2C4(C)CCC(C2(C)C)OC(=O)C=Cc2ccc(cc2)OC(=O)C=Cc2ccc(cc2)O)(C)C)C(C(C1O)O)N","in silico",1102.55755,16.5743
952,"8-<2-(4-Hydroxy-phenyl)-3,5,7-trihydroxy-chromanyl-(4)>-4-<2-(4-hydroxy-phenyl)-3,4,5,7-tetrahydroxy-chromanyl-(8)>-3,5,7,4'-tetrahydroxy-flavan|8-[2-(4-Hydroxy-phenyl)-3,5,7-trihydroxy-chromanyl-(4)]-4-[2-(4-hydroxy-phenyl)-3,4,5,7-tetrahydroxy-chromanyl-(8)]-3,5,7,4'-tetrahydroxy-flavan","OC1C(O)c2c(O)cc(O)c(C3C(O)C(Oc4c3c(O)cc(O)c4C5C(O)C(Oc6cc(O)cc(O)c56)c7ccc(O)cc7)c8ccc(O)cc8)c2OC1c9ccc(O)cc9","in silico UNPD",833.207279,11.006716
956,"Di_Hydro_Myricetin_Gallate_Cinnamate","c12c(c(cc(c1)O)OC(=O)c1cc(c(c(c1)O)O)O)C(=O)C(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)/C=C/c1ccccc1","in silico",601.112733,14.905611
957,"kaempferol-3-O-(6-O-galloyl-beta-D-galactopyranoside)","OC1C(O)C(COC(=O)c2cc(O)c(O)c(O)c2)OC(OC3=C(Oc4cc(O)cc(O)c4C3=O)c5ccc(O)cc5)C1O","in silico UNPD",599.0932,16.3374
959,"ReSpect:PT209260 Kaempferol-3-Rhamnoside|Kaem-3-Rha|Afzelin|5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one","CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O","GNPS databases",431.097177,13.687581
960,"Di_Hydro_Kaempferol_Pentose","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1ccc(cc1)O)OCC1OC(C(C1O)O)O","mass_only",419.097293,11.308992
966,"N/A","OC1C(COC(=O)C=Cc2ccccc2)OC(OC3Cc4c(O)cc(O)cc4OC3c5ccc(O)c(O)c5)C(O)C1O","in silico UNPD",581.165668,14.848032
972,"Myricetin_Deoxyhexose_Cinnamate","c12c(c(cc(c1)O)OC1C(O)OC(C(C1O)O)C)c(=O)c(c(o2)c1cc(c(c(c1)O)O)O)OC(=O)/C=C/c1ccccc1","in silico",593.129233,20.8321
974,"3-Glucogallic acid","OCC1OC(Oc2cc(cc(O)c2O)C(=O)O)C(O)C(O)C1O","in silico UNPD",331.065726,1.465934
979,"Gingerglycolipid A","CCC=C/CC=C/CC=C/CCCCCCCC(=O)OCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O","in silico UNPD",675.359069,27.19758
989,"Di_Hydro_Myricetin_Coumarate_Gallate","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)OC(=O)/C=C/c1ccc(cc1)O)O)O","in silico",617.1134,12.7491
994,"25-O-beta-D-glucopyranosyl-5beta,19-epoxycucurbita-6,23-diene-3beta,25-diol 3-O-beta-D-allopyranoside|goyaglycoside-e","CC(CC=CC(C)(C)OC1OC(CO)C(O)C(O)C1O)C2CCC3(C)C4C=CC56OCC4(CCC23C)C5CCC(OC7OC(CO)C(O)C(O)C7O)C6(C)C","in silico UNPD",779.459329,25.132867
995,"TriCE_DiRhamnose,DiAfzelechin_MonoCatechin_DiHexose","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1ccc(c(c1)O)O)OC1OC(C(C(C1O)O)O)C,c12c(c(cc(c1)O)OCC1OC(O)C(O)C(C1O)O)c(=O)cc(o2)c1ccc(cc1)O","mass_only",1157.31273,7.774061
998,"NCGC00169848-02!3-[4,5-dihydroxy-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one","CC1OC(OCC2OC(OC3=C(OC4=C(C3=O)C(O)=CC(O)=C4)C5=CC=C(O)C=C5)C(OC6OC(C)C(O)C(O)C6O)C(O)C2O)C(O)C(O)C1O","GNPS databases",739.2085,10.757939
1000,"Catechin_Coumarate_Coumarate_Deoxyhexose","c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(c(c1)O)O)OC(=O)/C=C/c1ccc(cc1)OC(=O)/C=C/c1ccc(cc1)OC1C(C(C(C(O1)C)O)O)O","in silico",727.2032,18.6954
1004,"afzelin 3''-O-gallate|kaempferol 3-O-(3''-O-galloyl)-alpha-L-rhamnopyranoside","CC1OC(OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)cc4)C(O)C(OC(=O)c5cc(O)c(O)c(O)c5)C1O","in silico UNPD",583.108539,16.021911
1006,"(-)-epigallocatechin-7-gallate|7-O-Galloylepigallocatechin","OC1Cc2c(O)cc(OC(=O)c3cc(O)c(O)c(O)c3)cc2OC1c4cc(O)c(O)c(O)c4","in silico UNPD",457.076031,11.357645
1009,"ReSpect:PT209300 Myricetin-3-Xyloside|Myrc-3-Xyl","c","GNPS databases",449.071355,10.545993
1012,"DiCE_DiGluc_DiCinnamate","c12c(c(cc(c1)OC(=O)/C=C/c1ccccc1)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1ccc(c(c1)O)OCC1OC(O)C(O)C(C1OC1OC(C(C(C1O)O)O)CO)O)O","mass_only",1161.325687,17.775762
1032,"6'-O-p-coumaroyl-D-glucopyranose|6-O-p-coumaroyl-D-glucopyranose|6-O-p-coumaroylglucose","OC1OC(COC(=O)C=Cc2ccc(O)cc2)C(O)C(O)C1O","in silico UNPD",325.091044,7.565166
1034,"Catechin_Gallate_Gallate_Gallate","c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(c(c1)O)O)OC(=O)c1cc(c(c(c1)O)O)OC(=O)c1cc(c(c(c1)O)O)OC(=O)c1cc(c(c(c1)O)O)O","in silico",745.103756,14.8756
1041,"(6S)-2-trans-6-alpha-L-arabinopyranosyloxy-2,6-dimethyl-2,7-octadienoic acid","CC(=C/CCC(C)(OC1OCC(O)C(O)C1O)C=C)C(=O)O","in silico UNPD",315.14425,10.372667
1048,"Gallocatechin_Coumarate_Gallate_Hexose","c12c(c(cc(c1)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)OC(=O)/C=C/c1ccc(cc1)OC1OC(C(C(C1O)O)O)CO","in silico",765.16715,11.8946
1058,"Myricetin_Coumarate_Gallate_Deoxyhexose","c12c(c(cc(c1)O)OC1C(C(O)OC(C1O)C)O)c(=O)c(c(o2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)OC(=O)/C=C/c1ccc(cc1)O)O)O","in silico",761.13545,19.50265
1059,"Vicenin-2","O[C@H]1C(C2=C3C(C(C=C(C4=CC=C(O)C=C4)O3)=O)=C(O)C([C@H]5O[C@H](CO)C(O)[C@H](O)[C@H]5O)=C2O)O[C@H](CO)C(O)[C@@H]1O","GNPS databases",593.150557,9.267052
1063,"Di_Catechin_Type_B_Deoxyhexose_Gallate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)O)OC1C(O)OC(C(C1O)O)C)O)CC(C(O2)c1ccc(c(c1)O)O)O","in silico",875.201683,10.383583
1066,"Tyramine_5Gallate","O(c1ccc(cc1)CCN)C(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O","mass_only",896.1413,9.3464
1068,"ReSpect:PT204590 Procyanidin B1|(-)-Epicatechin-(4-beta-8)-(+)-catechin|cis,trans''-4,8''-Bi-(3,3',4',5,7-pentahydroxyflavane)|(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-4-[(2R,3S)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychro","C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O","GNPS databases",577.133838,8.73537
1071,"ReSpect:PT204260 luteolin-7-O-glucoside|Lutl-7-Glc|Cynaroside|Cinaroside|Glucoluteolin|7-Glucosylluteolin|Luteoloside|Luteolin 7-O-beta-D-glucoside|Luteolin 7-O-glucopyranoside|7-O-beta-D-Glucosyl-5,7,3',4'-tetrahydro","C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O","GNPS databases",447.092214,13.503815
1074,"Gallocatechin_Catechin_Type_B_Pentose_Deoxyhexose","c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)OCC1OC(C(C1O)O)O)C)CC(C(O2)c1ccc(c(c1)O)O)O","mass_only",871.218333,10.7672
1075,"TriGC_EGC_MonoCoumarate","c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1cc(c(c(c1)OC(=O)/C=C/c1ccc(O)cc1)O)O)O","mass_only",1059.216857,11.224529
1086,"Leucocyanidin","OC1C(OC2C(O)C(Oc3cc(O)cc(O)c23)c4ccc(O)c(O)c4)c5c(O)cc(O)cc5OC1c6ccc(O)c(O)c6","in silico UNPD",593.1285,5.97938
1091,"Di_Catechin_Type_B_Deoxyhexose_Cinnamate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1ccc(c(c1)OC1OC(C(C(C1O)O)O)C)O)O","in silico",853.234529,13.451321
1099,"2MethylbutanoicAcid_AcacicAcid_CyclicMonoterpenyl_HexopyranuronicAcidGlycoside","CCC(C(=O)OC1CCC2(C(C1(C)C)CCC1(C2CC=C2C1(C)CC(C1(C2CC(C)(C)C(C1)OC1OC(C(=O)O)C(C(C1O)O)O)C(=O)OC(=O)C=C1CCC(OC1)(C)C=C)O)C)C)C","in silico",911.4986,22.779
1100,"Gallocatechin_Gallate_Gallate_Gallate","c12c(c(cc(c1)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)OC(=O)c1cc(c(c(c1)O)O)OC(=O)c1cc(c(c(c1)O)O)O","in silico",761.09835,13.289704
1101,"Procyanidin B3 3'-rhamnoside","CC1OC(OC2Cc3c(O)cc(O)c(C4C(O)C(Oc5cc(O)cc(O)c45)c6ccc(O)c(O)c6)c3OC2c7ccc(O)c(O)c7)C(O)C(O)C1O","in silico UNPD",723.192005,7.59424
1106,"Di_Catechin_Type_B_Deoxyhexose_Gallate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)O)OC1C(O)OC(C(C1O)O)C)O)CC(C(O2)c1ccc(c(c1)O)O)O","in silico",875.20105,11.250075
1107,"Di_Gallocatechin_Type_B_Coumarate_Gallate","c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)OC(=O)/C=C/c1ccc(cc1)O)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)O","mass_only",907.170001,14.009915
1110,"Di_Gallocatechin_Type_B_Gallate_Gallate_Gallate","c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)O","in silico",1065.154587,10.304513
1115,"Spectral Match to Isoquercitin from NIST14","N/A","GNPS databases",463.087052,11.871693
1118,"Gallocatechin_epigallocatechin monomer","c12c(c(cc(c1)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)O.c12c(c(cc(c1)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)O","mass_only",305.066685,8.829418
1124,"epicatechin-(4beta-6)-epicatechin-(4beta-8)-epecatechin","OC1Cc2c(O)c(O)cc(C3C(O)C(Oc4cc(O)c(C5C(O)C(Oc6cc(O)cc(O)c56)c7ccc(O)c(O)c7)c(O)c34)c8ccc(O)c(O)c8)c2OC1c9ccc(O)c(O)c9","in silico UNPD",865.196308,8.354759
1128,"Cinnamyl_EchinocysticAcid_Pyranoside_Ribopyranoside","OCC1OC(OC(=O)C23CCC(CC3C3=CCC4C(C3(CC2O)C)(C)CCC2C4(C)CCC(C2(C)C)OC(=O)C=Cc2ccccc2)(C)C)C(C(C1O)O)OC1OCC(C(C1O)O)O","in silico",895.4843,28.3288
1130,"(-)-epigallocatechin 3-O-caffeoate","Oc1cc(O)c2CC(OC(=O)C=Cc3ccc(O)c(O)c3)C(Oc2c1)c4cc(O)c(O)c(O)c4","in silico UNPD",467.097579,11.741898
1133,"N/A","Oc1cc(O)c2C(=O)CC(Oc2c1)c3ccc(O)c(O)c3c4c(O)cc(O)c5C(=O)C=C(Oc45)c6ccc(O)c(O)c6","in silico UNPD",571.1078,12.57595
1137,"Kaempferol_Cinnamate_Cinnamate_Cinnamate","c12c(c(cc(c1)O)OC(=O)/C=C/c1ccccc1)c(=O)c(c(o2)c1ccc(cc1)OC(=O)/C=C/c1ccccc1)OC(=O)/C=C/c1ccccc1","mass_only",675.173862,5.238215
1139,"Di_Hydro_Kaempferol_Pentose_Coumarate,Di_Hydro_Quercetin_Pentose_Cinnamate","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1ccc(cc1)O)OCC1OC(C(C1O)OC(=O)/C=C/c1ccc(cc1)O)O,c12c(c(cc(c1)O)OCC1OC(O)C(C1O)O)C(=O)C(C(O2)c1cc(c(cc1)O)O)OC(=O)/C=C/c1ccccc1","mass_only",565.1345,18.7505
1140,"GALACTARATE","C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O","GNPS databases",209.029674,5.953747
1142,"Afzelechin_Hexose_Cinnamate,Afzelechin_Deoxyhexose_Coumarate,Catechin_Deoxyhexose_Cinnamate","c12c(c(cc(c1)O)OCC1OC(O)C(C(C1O)O)O)CC(C(O2)c1ccc(cc1)O)OC(=O)/C=C/c1ccccc1,c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(cc1)O)OC(=O)/C=C/c1ccc(cc1)OC1C(C(C(C(O1)C)O)O)O,c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(c(c1)O)OC1C(O)OC(C(C1O)O)C)OC(=O)/C=C/c1ccccc1","mass_only",565.170786,16.622571
1152,"Di_Gallocatechin_Type_B","c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)O","in silico",609.123781,6.578348
1166,"Di_Catechin_Type_B_Hexose_Gallate,Gallocatechin_Catechin_Type_B_Deoxyhexose_Gallate,Afzelechin_Gallocatechin_Type_B_Hexose_Gallate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)O)OC1C(O)OC(C(C1O)O)CO)O)CC(C(O2)c1ccc(c(c1)O)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)O)OC1C(O)OC(C(C1O)O)C)O)CC(C(O2)c1ccc(c(c1)O)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)O)OC1C(O)OC(C(C1O)O)CO)O)CC(C(O2)c1ccc(cc1)O)O","mass_only",891.1958,8.2744
